UniqueCount	AmbigCount
13	0
3185	21
0	0
9	34
0	33
132	488
13	487
10	238
14	238
0	0
2130	7
118	179
30	0
771	1
0	35
0	35
0	302
3	302
153	1
40	1
0	148
1	148
0	0
598	7
0	0
3	952
0	952
0	80
0	85
2	85
0	0
81	0
687	5
144	1
1	0
7	0
416	5
1771	6
170	65
0	823
1	823
507	2
336	1
4	0
237	1
0	0
61	21
28	0
1	0
0	0
89	2
103	2
6487	5680
17	0
66	1
688	4
530	3
534	3
0	5
0	5
0	5
0	0
3	0
3	6
8	16
1	16
40	1
0	181
0	181
0	0
0	0
0	0
367	5
284	4
180	10
3	0
0	80
5	84
0	74
82	263
55	263
6	0
6	82
0	82
1	0
0	0
358	11
23	0
918	5
4	1
976	9
19	0
341	2
110	552
13	551
450	6
1	53
13	52
0	51
0	52
0	51
41	92
3	93
152	7
484	3
64	0
332	2
0	1025
0	1044
0	949
0	930
72	1
65	304
0	195
0	302
0	0
0	0
194	0
3	7
33	0
0	0
118	0
16	890
21	905
97	905
206	1
0	0
48	197
0	197
365	98
134	6
48	0
1924	11
316	2
0	1
1	1
0	1
1	1
0	0
679	7
94	0
0	35
0	35
0	0
80	133
21	133
0	0
0	2203
4	1879
403	2207
0	0
0	0
1	0
0	145
54	147
212	0
0	0
54	0
4	0
960	4
0	0
77	0
0	1
0	1
304	3
190	3
0	0
12	1
584	5
0	0
79	1
0	0
0	0
247	2
1120	3
65	0
418	4315
0	4314
0	2
0	2
0	0
63	192
0	192
0	0
10	5
0	61
16	60
5424	30
0	0
37	1
164	0
1	0
0	0
0	10
27	35
1565	13
28	0
0	336
64	403
0	355
339	16
0	0
36	0
157	6
58	735
445	737
7	0
766	6
0	0
37	4
0	4
0	406
72	406
1	0
32	0
4	2
0	2
1	2
0	2
1384	11
437	609
3	604
200	2
637	3
127	1
0	0
2	0
161	2
622	1
235	269
2	269
187	1
0	7
11	0
0	913
110	913
53	0
0	0
0	0
7	1
50	0
483	3
0	360
0	252
0	269
94	377
