Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW11712,13,3.008,5.002,3,20,15,4.804,8,7,9,13,16,9.014,9.001,13,11,6,10.004
ESW12594,3199.701,3134.323,3387.32,3336.503,2527.126,3933.361,2929.316,3958.234,3497.206,2724.437,2369.724,3882.001,3517.719,4017.179,2334.424,3440.222,3460.515,3977.744
ESW14289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12006,13.107,10.669,11.579,4.664,17.553,13.222,8.706,21.945,10.322,14.905,9.724,11.955,16.658,13.312,17.546,20.489,13.142,4.196
ESW12005,24.743,19.802,24.321,15.815,28.898,12.78,10.294,14.962,11.448,18.569,9.276,24.507,4.569,22.31,29.454,24.606,10.752,15.382
ESW11618,507.754,463.086,563.944,506.134,656.904,558.665,447.734,548.79,575.35,298.373,489.431,608.925,463.972,584.562,558.655,577.541,445.948,608.631
ESW11617,122.687,77.283,62.346,101.19,79.272,85.253,75.221,101.2,62.252,143.627,23.569,101.248,91.373,145.5,78.345,135.736,95.837,103.042
ESW13318,179.023,109.644,171.403,120.431,156,108.339,132.921,161.898,144.277,104.649,86.052,165.327,120.023,147.156,95.713,105.226,117.819,181.312
ESW13317,81.709,86.408,81.311,70.099,99.166,90.867,39.901,87.387,89.852,36.351,61.903,66.327,62.984,116.976,57.287,124.02,101.431,68.519
ESW12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14375,2132.791,1980.052,2283.948,2198.875,3104.56,2669.799,2122.469,2884.138,2311.616,1722.553,2446.82,3279.715,2867.592,3756.303,1666.08,2367.764,2994.617,3721.955
ESW12901,234.223,121.367,250.749,108.098,136.28,805.432,548.837,186.45,843.972,776.917,644.891,489.447,447.776,547.467,624.81,588.669,311.49,281.453
ESW14256,30,49.261,42.02,51,79.641,69.384,50,63,126.217,69,67,43,51.084,66.575,34,47,56.696,98.073
ESW14432,771.853,550.001,712.373,653.246,751.279,856.122,624.943,807.757,910.39,709.101,638.955,808.618,686.121,879.978,539.277,755.82,703.675,786.664
ESW12419,0,1.621,0,3.904,1.632,4.499,0,5.87,1.651,0,1.657,0,0,0,0,0,0,1.781
ESW12418,34.003,25.379,18,35.177,23.39,20.524,13,37.271,15.349,11,13.42,16.009,22,13.001,16,27.846,19,25.16
ESW13322,286.893,224.082,334.609,227.762,420.996,350.569,273.7,264.418,367.467,255.928,363.521,470.251,360.081,449.412,414.699,464.494,341.127,421.552
